Year,River,Fishery_Type,Coho_Harvest_Count
2010,Auke Creek,AK_Gillnet (Drift & Set),134
2010,Auke Creek,AK_Other,0
2010,Auke Creek,AK_Seine,0
2010,Auke Creek,AK_Sport,22
2010,Auke Creek,AK_Troll,194
2010,Auke Creek,CAN_AllFisheries,0
2011,Auke Creek,AK_Gillnet (Drift & Set),93
2011,Auke Creek,AK_Other,0
2011,Auke Creek,AK_Seine,31
2011,Auke Creek,AK_Sport,16
2011,Auke Creek,AK_Troll,137
2011,Auke Creek,CAN_AllFisheries,0
2012,Auke Creek,AK_Gillnet (Drift & Set),7
2012,Auke Creek,AK_Other,0
2012,Auke Creek,AK_Seine,4
2012,Auke Creek,AK_Sport,17
2012,Auke Creek,AK_Troll,212
